# 大岩の英文法 完全版問題集（各文法50問 × 16文法 = 800問）

# be動詞（50問）
彼女は提案を提出します,She will submit the proposal,未来形
私たちは目標を達成します,We will achieve the goal,未来形
彼は決定を下します,He will make a decision,未来形
私は資料を作成します,I will create the document,未来形
彼女は顧客をサポートします,She will support the customer,未来形
私たちは進捗を確認します,We will check the progress,未来形
彼はミーティングを主催します,He will host the meeting,未来形
私は計画を立てます,I will make a plan,未来形
彼らは協力します,They will cooperate,未来形
彼女はアイデアを提案します,She will suggest an idea,未来形
私たちは変更を実装します,We will implement the change,未来形
彼は結果を報告します,He will report the results,未来形
私はタスクを完了します,I will complete the task,未来形
彼女は会議を調整します,She will coordinate the meeting,未来形
私たちは品質を改善します,We will improve the quality,未来形
彼は承認を得ます,He will get approval,未来形
私はフィードバックを提供します,I will provide feedback,未来形
彼らは戦略を開発します,They will develop a strategy,未来形
彼女は指示に従います,She will follow the instructions,未来形
私たちは締め切りを守ります,We will meet the deadline,未来形
彼は問い合わせに対応します,He will handle the inquiry,未来形
私は優先順位をつけます,I will prioritize the tasks,未来形
彼女は契約を交渉します,She will negotiate the contract,未来形
私たちはリスクを評価します,We will assess the risks,未来形
彼は要件を理解します,He will understand the requirements,未来形
私は記録を保管します,I will keep the records,未来形
彼らは知識を共有します,They will share knowledge,未来形
彼女は変化に適応します,She will adapt to the changes,未来形
私たちは基準を満たします,We will meet the standards,未来形
彼は期待を超えます,He will exceed expectations,未来形
私は情報を収集します,I will gather information,未来形
彼女はプロセスを最適化します,She will optimize the process,未来形
私たちは目的を達成します,We will achieve the objective,未来形
彼は問題を特定します,He will identify the problem,未来形
私は手順を説明します,I will explain the procedure,未来形
彼らは決定を下します,They will make a decision,未来形
彼女は成果を測定します,She will measure the results,未来形
私たちは価値を提供します,We will deliver value,未来形
彼は責任を負います,He will take responsibility,未来形
私は詳細に注目します,I will focus on details,未来形
彼女はチームをリードします,She will lead the team,未来形
私たちは計画を実行します,We will execute the plan,未来形
彼はデータを分析します,He will analyze the data,未来形
私は承認を求めます,I will request approval,未来形

# 進行形（50問）
私は現在レポートを書いています,I am writing the report now,進行形
彼女はクライアントと話しています,She is talking with the client,進行形
私たちは会議を開いています,We are holding a meeting,進行形
彼はプロジェクトを進めています,He is proceeding with the project,進行形
私はメールをチェックしています,I am checking emails,進行形
彼らは問題を解決しています,They are solving the problem,進行形
彼女は提案を準備しています,She is preparing the proposal,進行形
私たちは目標を達成しようとしています,We are trying to achieve the goal,進行形
彼は意見を共有しています,He is sharing his opinion,進行形
私は計画を立てています,I am making a plan,進行形
彼女は顧客をサポートしています,She is supporting the customer,進行形
私たちは進捗を確認しています,We are checking the progress,進行形
彼はミーティングを主催しています,He is hosting the meeting,進行形
私は資料を作成しています,I am creating the document,進行形
彼らは協力しています,They are cooperating,進行形
彼女はアイデアを提案しています,She is suggesting an idea,進行形
私たちは変更を実装しています,We are implementing the change,進行形
彼は結果を報告しています,He is reporting the results,進行形
私はタスクを完了しています,I am completing the task,進行形
彼女は会議を調整しています,She is coordinating the meeting,進行形
私たちは品質を改善しています,We are improving the quality,進行形
彼は承認を得ようとしています,He is getting approval,進行形
私はフィードバックを提供しています,I am providing feedback,進行形
彼らは戦略を開発しています,They are developing a strategy,進行形
彼女は指示に従っています,She is following the instructions,進行形
私たちは締め切りに間に合わせようとしています,We are trying to meet the deadline,進行形
彼は問い合わせに対応しています,He is handling the inquiry,進行形
私はタスクに優先順位をつけています,I am prioritizing the tasks,進行形
彼女は契約を交渉しています,She is negotiating the contract,進行形
私たちはリスクを評価しています,We are assessing the risks,進行形
彼は要件を理解しようとしています,He is understanding the requirements,進行形
私は記録を保管しています,I am keeping the records,進行形
彼らは知識を共有しています,They are sharing knowledge,進行形
彼女は変化に適応しています,She is adapting to the changes,進行形
私たちは基準を満たそうとしています,We are trying to meet the standards,進行形
彼は期待を超えようとしています,He is trying to exceed expectations,進行形
私は情報を収集しています,I am gathering information,進行形
彼女はプロセスを最適化しています,She is optimizing the process,進行形
私たちは目的を達成しようとしています,We are trying to achieve the objective,進行形
彼は問題を特定しています,He is identifying the problem,進行形
私は手順を説明しています,I am explaining the procedure,進行形
彼らは決定を下しています,They are making a decision,進行形
彼女は成果を測定しています,She is measuring the results,進行形
私たちは価値を提供しています,We are delivering value,進行形
彼は責任を負っています,He is taking responsibility,進行形
私は詳細に注目しています,I am focusing on details,進行形
彼女はチームをリードしています,She is leading the team,進行形
私たちは計画を実行しています,We are executing the plan,進行形
彼はデータを分析しています,He is analyzing the data,進行形
私は承認を求めています,I am requesting approval,進行形
