# 現在完了（50問）
この製品は日本で製造されています,This product is made in Japan,受動態
会議は午後2時に開催されます,The meeting will be held at 2 PM,受動態
この問題は既に解決されました,This problem has already been solved,受動態
彼は昇進させられました,He was promoted,受動態
その提案は承認されました,The proposal was approved,受動態
この建物は1990年に建てられました,This building was built in 1990,受動態
新しい規則が発表されました,New rules have been announced,受動態
その計画は延期されました,The plan was postponed,受動態
この本は多くの人に読まれています,This book is read by many people,受動態
彼女は優秀な社員として知られています,She is known as an excellent employee,受動態
その決定は明日発表されます,The decision will be announced tomorrow,受動態
このプロジェクトは完了されました,This project has been completed,受動態
彼はマネージャーに任命されました,He was appointed as manager,受動態
その問題は会議で議論されました,The issue was discussed in the meeting,受動態
新しい方針が実施されます,A new policy will be implemented,受動態
この製品は世界中で使用されています,This product is used worldwide,受動態
彼女は賞を授与されました,She was awarded a prize,受動態
その提案は委員会によって検討されました,The proposal was reviewed by the committee,受動態
新しいオフィスが来年開設されます,A new office will be opened next year,受動態
この文書は翻訳されました,This document has been translated,受動態
彼は会議に招待されました,He was invited to the meeting,受動態
その契約は署名されました,The contract was signed,受動態
この情報は更新されました,This information has been updated,受動態
彼女は重要な役割を任されました,She was entrusted with an important role,受動態
その要求は拒否されました,The request was rejected,受動態
新しい技術が開発されています,New technology is being developed,受動態
この問題は専門家によって分析されました,This issue was analyzed by experts,受動態
彼はチームリーダーに選ばれました,He was chosen as team leader,受動態
その計画は修正されました,The plan was modified,受動態
この製品は高く評価されています,This product is highly valued,受動態
彼女は会社によって支援されました,She was supported by the company,受動態
その提案は全員によって承認されました,The proposal was approved by everyone,受動態
新しいルールが適用されます,New rules will be applied,受動態
この情報は確認されました,This information has been confirmed,受動態
彼は多くの人に尊敬されています,He is respected by many people,受動態
その会議は中止されました,The meeting was cancelled,受動態
この方法は広く使用されています,This method is widely used,受動態
彼女は新しいプロジェクトに割り当てられました,She was assigned to a new project,受動態
そのデータは分析されました,The data was analyzed,受動態
新しい戦略が採用されます,A new strategy will be adopted,受動態
この製品は改良されました,This product has been improved,受動態
彼は優秀な業績で認められました,He was recognized for excellent performance,受動態
その提案は慎重に検討されました,The proposal was carefully considered,受動態
新しいシステムが試験されています,A new system is being tested,受動態
この情報は共有されました,This information has been shared,受動態
彼女は重要な会議に呼ばれました,She was called to an important meeting,受動態
その問題は迅速に解決されました,The problem was solved quickly,受動態
この計画は全員によって支持されています,This plan is supported by everyone,受動態

# 不定詞（50問）
私は英語を勉強することが好きです,I like to study English,不定詞
彼女は早く起きることに決めました,She decided to wake up early,不定詞
私たちは新しい方法を試すことにしました,We decided to try a new method,不定詞
彼は海外で働くことを望んでいます,He wants to work abroad,不定詞
私は会議に出席する必要があります,I need to attend the meeting,不定詞
彼らは計画を変更することを提案しました,They suggested to change the plan,不定詞
彼女は問題を解決しようとしています,She is trying to solve the problem,不定詞
私たちは締め切りを守ることを約束しました,We promised to meet the deadline,不定詞
彼は成功するために努力しています,He is working hard to succeed,不定詞
私は詳細を確認することを忘れました,I forgot to check the details,不定詞
彼女は承認を得ることに成功しました,She managed to get approval,不定詞
私たちは品質を改善することを目指しています,We aim to improve quality,不定詞
彼は新しいスキルを学ぶことを始めました,He started to learn new skills,不定詞
私は報告書を提出することを覚えています,I remember to submit the report,不定詞
彼らは協力することに同意しました,They agreed to cooperate,不定詞
彼女は早く帰ることを選びました,She chose to leave early,不定詞
私たちは戦略を見直すことを計画しています,We plan to review the strategy,不定詞
彼は目標を達成することを期待しています,He expects to achieve the goal,不定詞
私はプレゼンを準備することが必要です,I need to prepare the presentation,不定詞
彼女は問い合わせに対応することを申し出ました,She offered to handle the inquiry,不定詞
私たちは変更を実装することを検討しています,We are considering to implement changes,不定詞
彼は英語で話すことを学んでいます,He is learning to speak English,不定詞
私はフィードバックを提供することを忘れないでください,Please remember to provide feedback,不定詞
彼らはリスクを評価することに決めました,They decided to assess the risks,不定詞
彼女は締め切りを延長することを要求しました,She requested to extend the deadline,不定詞
私たちは効率を向上させることを目指しています,We aim to improve efficiency,不定詞
彼は詳細を説明することを約束しました,He promised to explain the details,不定詞
私は会議を調整することを試みています,I am trying to coordinate the meeting,不定詞
彼女は提案を提出することに成功しました,She succeeded in submitting the proposal,不定詞
私たちは基準を満たすことを望んでいます,We hope to meet the standards,不定詞
彼は承認を求めることを決めました,He decided to request approval,不定詞
私は情報を収集することが重要です,It is important to gather information,不定詞
彼らは決定を下すことを延期しました,They postponed to make a decision,不定詞
彼女はプロセスを最適化することを提案しました,She proposed to optimize the process,不定詞
私たちは目的を達成することに集中しています,We are focusing to achieve the objective,不定詞
彼は問題を特定することに成功しました,He managed to identify the problem,不定詞
私は手順を説明することを始めます,I will start to explain the procedure,不定詞
彼女は成果を測定することを計画しています,She plans to measure the results,不定詞
私たちは価値を提供することを目指しています,We aim to deliver value,不定詞
彼は責任を負うことを同意しました,He agreed to take responsibility,不定詞
私は詳細に注目することが大切です,It is important to focus on details,不定詞
彼らはチームをリードすることを学んでいます,They are learning to lead the team,不定詞
彼女は計画を実行することを始めました,She started to execute the plan,不定詞
私たちはデータを分析することが必要です,We need to analyze the data,不定詞
彼は承認を得ることを期待しています,He expects to get approval,不定詞
私は早く行動することを決めました,I decided to act quickly,不定詞
彼女は柔軟に対応することを学びました,She learned to be flexible,不定詞
私たちは協力することが重要です,It is important to cooperate,不定詞
彼は品質を優先することを選びました,He chose to prioritize quality,不定詞
私は機会を活用することを望んでいます,I hope to take advantage of the opportunity,不定詞
